g1,g2
0.01664522,-0.18843678
0.06175552,-0.19219896
0.10611177,-0.18541194
0.1471557,-0.16804813
0.18240187,-0.14067014
0.20959134,-0.104436815
0.22684209,-0.060920164
0.23282543,-0.012236184
0.22654086,0.039679922
0.20742394,0.09214914
0.17572926,0.14215562
0.13243522,0.18678156
0.07885739,0.22267653
0.017661443,0.24755183
-0.047858633,0.25978032
-0.11409248,0.2585551
-0.17722961,0.24360457
-0.23370336,0.2144454
-0.28026578,0.17208563
-0.31416914,0.11637919
-0.33226308,0.04968328
-0.33273026,-0.025196575
-0.3142554,-0.10446663
-0.2756893,-0.18371065
-0.21708621,-0.25554872
-0.14127126,-0.31403092
-0.053254146,-0.35468096
0.041092418,-0.37372583
0.13581258,-0.36953723
0.2250083,-0.34270227
0.30247575,-0.29446927
0.3633935,-0.22720274
0.40489063,-0.14433244
0.42377743,-0.050175723
0.41456226,0.04966104
0.37706208,0.14860822
0.3142802,0.2410016
0.22900143,0.31968614
0.12666763,0.38033196
0.013335946,0.41889814
-0.10394846,0.43230152
-0.21935801,0.41888565
-0.32665235,0.3788171
-0.41815335,0.31430325
-0.48523754,0.22507183
-0.5238475,0.11560342
-0.53156143,-0.007201698
-0.5040151,-0.13657843
-0.44121486,-0.26314375
-0.34290892,-0.37569773
-0.2162993,-0.46488672
-0.07208425,-0.52292645
0.08030932,-0.54388005
0.22852165,-0.5255773
0.36097488,-0.4699106
0.46943966,-0.3819832
0.54732513,-0.2678451
0.59084004,-0.13431665
0.59258074,0.011522124
0.5507327,0.1585086
0.46826452,0.29575795
0.3508138,0.41314197
0.20768246,0.50376767
0.046874933,0.56146234
-0.12084245,0.57992923
-0.2831626,0.5570899
-0.4301618,0.49377143
-0.5501541,0.39381334
-0.63213235,0.263351
-0.66995496,0.11022695
-0.6616633,-0.0562481
-0.6047279,-0.2245785
-0.50101936,-0.37879813
-0.35792103,-0.5053032
-0.1853179,-0.5968837
0.0031456663,-0.6443289
0.19273409,-0.6428539
0.3680266,-0.5922023
0.5152895,-0.49712217
0.6249011,-0.3656529
0.6913642,-0.20821671
0.7064303,-0.033581264
0.6682389,0.1458069
0.5787017,0.3155346
0.44422248,0.46188068
0.27643412,0.5757944
0.08556752,0.64804703
