omega1,omega2,time
-0.00050172955,-0.0003007464,242
0.00060369074,-0.00059066154,243
0.0011393577,0.00055628456,244
0.0006415844,0.00030720234,245
0.0012329593,-0.00030079298,246
0.0013928786,0.0005224906,247
0.0005989224,0.001471512,248
-0.0002675429,0.001307115,249
0.00052285194,6.1323866e-05,250
0.0010306165,-0.0015238225,251
0.0005418733,-0.00033244304,252
0.00069286674,0.001007501,253
-0.00019223243,0.00084503926,254
5.733967e-05,0.0008813944,255
0.000319995,5.462207e-05,256
-0.0017387718,-0.00014634617,257
-0.002068244,2.230145e-05,258
-0.00045787543,-0.0007101968,259
0.000803031,-0.0017044023,260
0.0004958436,0.00023795478,261
0.0008216426,0.00011039153,262
0.0007987842,0.00017035753,263
-8.768588e-05,-0.0007003993,264
0.00052731484,-0.0009968653,265
0.0018755496,-0.00016129762,266
0.0013528094,0.0010865629,267
0.0012041107,-0.0001879055,268
0.0017012581,0.00014864653,269
0.0014967173,0.0010842122,270
0.00052355975,0.0017574634,271
0.0005128607,0.00076425076,272
0.0026239008,-0.0013773404,273
8.024275e-06,-0.00058668293,274
0.00047279894,0.0010096878,275
0.00019552559,0.0013979133,276
-0.00030539185,0.0011162274,277
0.00024542212,0.00033551827,278
-0.0016970932,-0.00038399175,279
-0.0025179312,-0.00033079833,280
-0.001758419,-0.00048159994,281
0.0010922477,-0.0023852661,282
0.0003805235,-0.001182232,283
0.00049682707,-0.0008731447,284
0.0010489449,-0.00043817237,285
-2.0898879e-05,-0.00087914243,286
0.00013834983,-0.0011534318,287
0.0021522865,-0.00064494647,288
0.0019153431,0.0010096505,289
0.0010422543,-0.00010038912,290
0.0014709532,-0.0001087822,291
0.0021327958,0.0008416213,292
0.0011499897,0.0019327328,293
0.00043674558,0.0013605133,294
0.0018634722,-0.00021158718,295
-0.00013295561,-0.000639271,296
0.00041165203,0.00087796897,297
0.0005614385,0.0017628111,298
-0.0005064085,0.001277972,299
-1.1712313e-05,0.0009058453,300
-0.0013265535,-0.0002519898,301
-0.002915807,-0.00046859495,302
-0.0024304613,-0.00057542324,303
0.0008504316,-0.002518395,304
0.0003527999,-0.0022095907,305
0.0003759563,-0.0012434423,306
