xseq_norm,xkoop_norm,time
0.08520577,0.96304995,62.75
0.06982035,0.98474914,63.0
0.062220987,0.9905496,63.25
0.03348165,0.9778686,63.5
0.085153304,0.9491142,63.75
0.06860578,0.91375697,64.0
0.061964463,0.88211083,64.25
0.035327896,0.8667856,64.5
0.13351287,0.87181664,64.75
0.12994769,0.8961499,65.0
0.10083791,0.93224615,65.25
0.1350335,0.9662828,65.5
0.050415855,0.98831904,65.75
0.051865198,0.9947332,66.0
0.052109275,0.9818447,66.25
0.05719727,0.95309615,66.5
0.09183537,0.91683453,66.75
0.12514625,0.88286763,67.0
0.102882884,0.8620919,67.25
0.06237705,0.86276907,67.5
0.092402026,0.8859006,67.75
0.11702969,0.92133415,68.0
0.10172711,0.95709336,68.25
0.06852292,0.98265874,68.5
0.11462582,0.9928461,68.75
0.013325865,0.98619103,69.0
0.076895356,0.96046776,69.25
0.07376204,0.92554295,69.5
0.06900144,0.89162654,69.75
0.015030655,0.87109494,70.0
0.122291215,0.8706832,70.25
0.13513964,0.89022434,70.5
0.0996328,0.9243232,70.75
0.15042168,0.9605623,71.0
0.061578378,0.9858457,71.25
0.06604756,0.9970165,71.5
0.06800846,0.9888521,71.75
0.057504404,0.96320325,72.0
0.07694845,0.92804444,72.25
0.12987874,0.89262784,72.5
0.11798434,0.8672653,72.75
0.057307966,0.86162484,73.0
0.07814939,0.879848,73.25
0.12236873,0.913387,73.5
0.11879373,0.95044947,73.75
0.07310414,0.9792611,74.0
0.13276388,0.9935906,74.25
0.022833044,0.9920844,74.5
0.063785605,0.96955717,74.75
0.09135253,0.9358873,75.0
0.072671965,0.9010934,75.25
0.023104424,0.8759568,75.5
0.099581316,0.87028134,75.75
0.1478585,0.88497394,76.0
0.1195878,0.916457,76.25
0.15491578,0.95427495,76.5
0.10317975,0.9825185,76.75
0.07624677,0.9975652,77.0
0.07266634,0.9942142,77.25
0.0497727,0.9723082,77.5
0.06600773,0.9389888,77.75
0.12732972,0.9026709,78.0
0.121602066,0.8734451,78.25
0.04829091,0.8624036,78.5
0.069898084,0.87547845,78.75
0.13088001,0.9063393,79.0
0.12337157,0.9437213,79.25
0.08597245,0.97550666,79.5
0.09093975,0.9936516,79.75
0.02564296,0.9956345,80.0
0.050915856,0.97778106,80.25
0.09682426,0.9461763,80.5
0.07587528,0.91069835,80.75
0.050279815,0.8817319,81.0
0.068141714,0.8710274,81.25
0.15459889,0.880983,81.5
0.13542983,0.90917736,81.75
0.13694692,0.9464778,82.0
0.13329232,0.9777626,82.25
0.07641437,0.9963636,82.5
0.063209794,0.9977874,82.75
0.043930124,0.98021716,83.0
0.06168917,0.9488174,83.25
0.11808868,0.9118125,83.5
0.13033138,0.879549,83.75
